"iteration","value","iteration_num","metric","tweedie_variance_power","hyper_param_label"
"Test Set 3",33144.867,3,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 3",2221.1433,3,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 3",0.6438973,3,"rmsle",1.8,"tweedie_variance_power 1.8"
"Test Set 4",1372.5693,4,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 4",1.7437944,4,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 4",5555843,4,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 4",59898.395,4,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 4",0.3676293,4,"r2",1.8,"tweedie_variance_power 1.8"
"Test Set 4",32792.055,4,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 4",2357.0835,4,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 4",0.6358304,4,"rmsle",1.8,"tweedie_variance_power 1.8"
"Test Set 5",1383.7706,5,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 5",1.7571747,5,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 5",4802427.5,5,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 5",61398.39,5,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 5",0.40639186,5,"r2",1.8,"tweedie_variance_power 1.8"
"Test Set 5",33284.406,5,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 5",2191.444,5,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 5",0.64429665,5,"rmsle",1.8,"tweedie_variance_power 1.8"
"Test Set 6",1393.8165,6,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 6",1.7651252,6,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 6",5157786.5,6,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 6",61630.93,6,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 6",0.396058,6,"r2",1.8,"tweedie_variance_power 1.8"
"Test Set 6",33337.918,6,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 6",2271.076,6,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 6",0.6446481,6,"rmsle",1.8,"tweedie_variance_power 1.8"
"Test Set 7",1387.944,7,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 7",1.7625647,7,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 7",5188155.5,7,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 7",61025.6,7,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 7",0.39110175,7,"r2",1.8,"tweedie_variance_power 1.8"
"Test Set 7",33284.273,7,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 7",2277.7522,7,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 7",0.64699256,7,"rmsle",1.8,"tweedie_variance_power 1.8"
"Test Set 8",1370.0752,8,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 8",1.7318995,8,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 8",4900490.5,8,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 8",60314.695,8,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 8",0.39534748,8,"r2",1.8,"tweedie_variance_power 1.8"
"Test Set 8",32923.41,8,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 8",2213.705,8,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 8",0.6375387,8,"rmsle",1.8,"tweedie_variance_power 1.8"
"Test Set 9",1378.4691,9,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 9",1.7593127,9,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 9",5471384.5,9,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 9",60717.89,9,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 9",0.3737937,9,"r2",1.8,"tweedie_variance_power 1.8"
"Test Set 9",33015.26,9,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 9",2339.099,9,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 9",0.644239,9,"rmsle",1.8,"tweedie_variance_power 1.8"
